id,subsystem,priority,title,requirement,depends_on,theorem,acceptance_test,status
ZS-KERNEL-001,Trusted kernel,P0,Canonical serialization,"Define exactly one versioned canonical byte representation for every rooted object, contract, receipt, event, view, delta, and authority object. Reject noncanonical encodings at the authority boundary.",,Core: Canonical Rendering Identity; Q99: Rendering Fragmentation Penalty,"Property tests produce identical bytes under map-order, whitespace, path-alias, locale, and process-order perturbations; malformed/noncanonical inputs are rejected.",Not implemented / audit required
ZS-KERNEL-002,Trusted kernel,P0,Content roots,"Compute collision-resistant roots over canonical bytes and bind the digest algorithm/version into every root. Never use display names, timestamps, or database row IDs as semantic identity.",ZS-KERNEL-001,Q99: Causal Cache Soundness,Mutation of any canonical field changes the root; identical content in separate processes and branches yields the same root.,Not implemented / audit required
ZS-KERNEL-003,Trusted kernel,P0,Formation receipts,"A stored payload receives cache authority only through a receipt that binds constructor identity, contract root, complete dependency roots, execution record, payload root, and formation time/epoch.","ZS-KERNEL-001,ZS-KERNEL-002",Q99: Causal Cache Soundness,Relabeling an unrelated payload with a valid causal key fails verification; dependency or constructor mutation revokes reuse.,Not implemented / audit required
ZS-KERNEL-004,Trusted kernel,P0,Trivalent epistemic verdict,"Every checker returns Safe, Unsafe, or Unknown. Unknown never aliases Safe and cannot issue execution or publication authority.",,Core: Decision-View Certificate Soundness; Harness: Atomic No-Partial-Authority,"Fault injection that removes one required premise always yields Unknown or Unsafe, never Completed.",Not implemented / audit required
ZS-KERNEL-005,Trusted kernel,P0,Typed authority separation,"Planner, model, retriever, cache optimizer, and executor code cannot construct authority objects. Only trusted checkers may issue short-lived scoped authority after validating rooted evidence.",ZS-KERNEL-004,Harness: Atomic No-Partial-Authority; Pareto: Same-Harness Capability Superset,"Static/module-boundary audit plus runtime forgery tests show that fabricated, replayed, expired, scope-mismatched, or stale authorities fail.",Not implemented / audit required
ZS-KERNEL-006,Trusted kernel,P0,Append-only authoritative event log,"Record every state transition, evidence observation, cache decision, execution, verification, authority issuance, commit, rollback, and resource charge in an append-only sequence with parent roots.","ZS-KERNEL-001,ZS-KERNEL-002",Runtime refinement obligation,A killed process can replay the log to the same authoritative state; missing or reordered events are detectable.,Not implemented / audit required
ZS-KERNEL-007,Trusted kernel,P0,Versioned semantic ABI,"Root the ABI version for task contracts, semantic objects, receipts, events, and results. Schema migration must be explicit and never silently reinterpret old bytes.",ZS-KERNEL-001,Core: Cross-Harness Semantic Factorization,Golden fixtures decode identically across supported releases; incompatible versions fail closed or migrate with a rooted receipt.,Not implemented / audit required
ZS-KERNEL-008,Trusted kernel,P0,No partial authority,All authoritative project mutations are atomic: either an exact verified successor root becomes current or the authoritative root is unchanged.,"ZS-KERNEL-005,ZS-KERNEL-006",Harness: Atomic No-Partial-Authority,"Crash at every instruction boundary around verify/authorize/commit produces either old root or complete new root, never partial state.",Not implemented / audit required
ZS-CONTRACT-001,Contracts,P0,Task contract,"Bind raw request, acceptance criteria, protected dimensions, Unknown/subjective dimensions, side-effect policy, environment fixtures, initial project root, model/harness/tool contracts, budget, deadline, and fallback policy.",ZS-KERNEL-001,Core: Harness Decision-Boundary Compression,Changing any contract field produces a different root and invalidates dependent certificates.,Not implemented / audit required
ZS-CONTRACT-002,Contracts,P0,Model invocation contract,"Bind provider/model/version, tokenizer or counting method, sampling, reasoning allowance, stopping policy, system prompt root, tool permission set, and routing fields observable to the harness.",ZS-CONTRACT-001,Core: Harness Capability Superset; Pareto: Same-Harness Capability Superset,Paired baseline/treatment manifests reject mismatched invocation fields.,Not implemented / audit required
ZS-CONTRACT-003,Contracts,P0,Harness contract,"Bind harness name/version, tool serialization, message ordering, transcript policy, cancellation semantics, native tool set, and adapter renderer version.",ZS-CONTRACT-001,Harness: Harness-Transport Factorization,Cross-harness comparisons identify renderer differences without invalidating semantic project objects.,Not implemented / audit required
ZS-CONTRACT-004,Contracts,P0,Protected scope,"Represent what equivalence/nonregression actually covers: tests, API, behavior, security, performance, file effects, user-visible output, and successor-state obligations.",ZS-CONTRACT-001,Core: Protected decision equivalence; Pareto: protected quality,An uncovered property is represented as Unknown and cannot be advertised as equivalent.,Not implemented / audit required
ZS-BASE-001,Baseline sovereignty,P0,Native path preservation,"Keep every ordinary harness tool and the complete non-ZeroStack execution path available to the model. ZeroStack is an optional strategy, not a mandatory bottleneck.","ZS-CONTRACT-002,ZS-CONTRACT-003",Core/Harness/Pareto: Capability Superset,A conformance task can disable ZeroStack mid-run and complete through the same native tool path.,Not implemented / audit required
