version,id,title,status,category,disposition,current_authority,source_path
Draft1,RACC-T1,Action sufficiency plus successor closure preserves finite trajectory laws,P,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T2,Sound gate plus exact raw fallback gives universal policy non-degradation,C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T3,Finite controlled agents have a canonical minimal exact quotient,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T4,Quotient cardinality/entropy lower-bounds exact communication,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T5,No universal positive compression ratio over arbitrary literal-output tasks,P/N,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T6,Independent sparse demands have exact zero-error expected delivery rate,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T7,Exposure/replay token accounting obeys an exact identity,P,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T8,Doubling evidence expansion is strictly 4-competitive,P/prior art,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T9,Dependency closures and causal cuts yield exact bounded views under factorization,C,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T10,Transactional verifier wrapper is task-success non-regressive,C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-T11,Sublinear exact causal width plus bounded hierarchy implies savings tending to one,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACC-J1,RADC-D: broad coding tasks have sublinear certifiable causal width,J,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T1,History selector exists iff every world fiber has a common-safe effect,P,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T2,Support-safe randomization exists iff deterministic safe effect exists,P,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T3,Finite recovery tree is complete iff every reachable leaf is safe,P,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T4,Minimal conflict sets form a complete obstruction basis,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T5,Minimum arbitrary labels equal conflict-hypergraph chromatic number,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T6,Complete replay key plus formation/integrity gives exact protected replay,C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T7,Forward influence closure is sound and graph-minimal,C,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T8,Fresh/Invalid/Unknown gate prevents silent stale publication,C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T9,Pointwise nonregression + strict rescue + lower work gives strict Pareto dominance,P/C,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,RACCR-T10,Exact Q99-Total condition with preparation,P,Cache/Q99,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T1,Protected future equivalence is a right congruence,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T2,Future quotient is the minimal exact protected continuation machine,P,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T3,Fixed-recovery message law is `U_P(rho) <= V^t`,P,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T4,"Under realizable balanced partitions, one token iff `N_P <= L*V`",P/C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T5,Four-channel capacity obeys input and output conservation,P/C,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T6,Arbitrary first-use requests cannot enter through one literal information token,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T7,One-token arbitrary output requires stored/executable or separately charged result state,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-T8,Complete CEGAR refinement converges in at most `N_P-1` splits,P,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,OMEGA-J1,Useful tasks have bounded/sublinear protected causal interfaces,J,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T1,Directed protected quotients form a coherent inverse system,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T2,Complete-history quotient injects into inverse limit,P,Foundations/Capacity,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T3,Finite/compact closed-class premises give realization,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T4,Every finite-demand request is exact from its finite sufficient coordinate,C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T5,Later distinction cannot be recovered from a state that merged it,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T6,Universal separating observers collapse semantic compression to injection,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T7,Refinement debt equals local fiber logarithm and is subadditive,P,Effects/Authority,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T8,Demand-tail survival identity exactly gives expected cost,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-T9,Incremental proof tree recomputation is at most `1+k*h` nodes,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,INF-J1,Persistent zero-error continuation has an operational dynamic information rate,J,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T1,Trace-preserving baseline strategy injection gives capability non-degradation,P/C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T2,Exact restoration makes enriched state Blackwell-at-least-as-informative,P/C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T3,Safe escalation plus dominance-simulating successor gives finite-trace nonregression,C,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T4,Baseline reserve iff `s-u+h <= B-b`,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T5,Preserved reasoning imposes an honest all-token compression floor,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T6,One token is a prepared fast path iff residual ambiguity fits vocabulary,P/C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-T7,Componentwise compression dividend can finance augmentation without more resources,P/C,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,SOV-J1,Verified capability stock can become self-financing on useful workloads,J,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T1,Nested verified candidate sets yield monotone protected utility,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T2,"Performance loss telescopes into recovery, generation, verification, selection gaps",P,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T3,Greedy value-directed recovery gets `1-(1-1/k)^k` under monotone submodularity,P/prior art,Recovery/Nondegradation,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T4,Equal-reward pipelines are optimally ordered by decreasing `p/c`,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T5,Isolated memory/adaptation branch plus sound guard prevents negative transfer,C,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T6,Finite verified experience gives quality-up/cost-down expected trajectory,P,Other/Research,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-T7,Finite expected capture work amortizes to zero per task,P,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-J1,Protected decision value is approximately submodular on useful coding tasks,J,Harness/Decision,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
Draft1,COMP-J2,Verified experience capture and strict rescue occur with positive workload mass,J/E,Pareto/Accounting,Foundational/historical; consult current scope,"current V6 papers/specs, then Draft5",archive/extracted/Draft1/CLAIM_LEDGER.md
